Co	Code	Time	Error
1	CNC1	0	
2	CNC2	28	
3	CNC3	79	
4	CNC4	107	
5	CNC5	158	
6	CNC6	186	
7	CNC7	237	
8	CNC8	265	
9	CNC1	634	
10	CNC2	687	
11	CNC3	763	
12	CNC4	816	
13	CNC5	892	
14	CNC6	945	
15	CNC7	1021	
16	CNC8	1074	
17	CNC1	1293	
18	CNC2	1346	
19	CNC3	1422	
20	CNC4	1475	
21	CNC5	1551	
22	CNC6	1604	
23	CNC7	1680	
24	CNC8	1733	
25	CNC1	1952	
26	CNC2	2005	
27	CNC3	2081	
28	CNC4	2134	
29	CNC5	2210	
30	CNC6	2263	
31	CNC7	2339	
32	CNC8	2392	
33	CNC1	2611	
34	CNC2	2664	
35	CNC3	2740	
36	CNC4	2793	
37	CNC5	2869	
38	CNC6	2922	
39	CNC7	2998	
40	CNC8	3051	
41	CNC1	3270	
42	CNC2	3323	
43	CNC3	3399	
44	CNC4	3452	
45	CNC5	3528	
46	CNC6	3581	
47	CNC7	3657	
48	CNC8	3710	
49	CNC1	3929	
50	CNC2	3982	
51	CNC3	4058	
52	CNC4	4111	
53	CNC5	4187	
54	CNC6	4240	
55	CNC7	4316	
55	CNC8	4369	Error
56	CNC1	4588	
57	CNC2	4641	
58	CNC3	4717	
59	CNC4	4770	
60	CNC5	4846	
61	CNC6	4899	
62	CNC7	4975	
63	CNC8	5028	
64	CNC1	5247	
65	CNC2	5300	
66	CNC3	5376	
67	CNC4	5429	
67	CNC5	5505	Error
68	CNC6	5558	
69	CNC7	5634	
70	CNC8	5687	
71	CNC1	5906	
72	CNC2	5959	
73	CNC3	6035	
74	CNC4	6088	
75	CNC6	6194	
76	CNC7	6270	
77	CNC8	6323	
78	CNC5	6399	
79	CNC1	6552	
80	CNC2	6605	
81	CNC3	6681	
82	CNC4	6734	
83	CNC6	6830	
84	CNC7	6906	
85	CNC8	6959	
86	CNC5	7035	
87	CNC1	7198	
88	CNC2	7251	
89	CNC3	7327	
90	CNC4	7380	
91	CNC6	7466	
92	CNC7	7542	
93	CNC8	7595	
94	CNC5	7671	
95	CNC1	7844	
96	CNC2	7897	
97	CNC3	7973	
98	CNC4	8026	
99	CNC6	8102	
100	CNC7	8178	
101	CNC8	8231	
102	CNC5	8307	
103	CNC1	8490	
104	CNC2	8543	
105	CNC3	8619	
106	CNC4	8672	
107	CNC6	8748	
108	CNC7	8824	
109	CNC8	8877	
110	CNC5	8953	
111	CNC1	9136	
112	CNC2	9189	
113	CNC3	9265	
114	CNC4	9318	
115	CNC6	9394	
116	CNC7	9470	
117	CNC8	9523	
118	CNC5	9599	
119	CNC1	9782	
120	CNC2	9835	
121	CNC3	9911	
122	CNC4	9964	
123	CNC6	10040	
124	CNC7	10116	
125	CNC8	10169	
126	CNC5	10245	
127	CNC1	10428	
128	CNC2	10481	
129	CNC3	10557	
130	CNC4	10610	
130	CNC6	10686	Error
131	CNC7	10762	
132	CNC8	10815	
133	CNC5	10891	
134	CNC1	11074	
135	CNC2	11127	
136	CNC3	11203	
137	CNC4	11256	
138	CNC7	11408	
139	CNC8	11461	
140	CNC5	11537	
141	CNC6	11590	
142	CNC1	11720	
143	CNC2	11773	
144	CNC3	11849	
145	CNC4	11902	
146	CNC7	12054	
147	CNC8	12107	
148	CNC5	12183	
149	CNC6	12236	
150	CNC1	12366	
151	CNC2	12419	
152	CNC3	12495	
153	CNC4	12548	
154	CNC7	12700	
155	CNC8	12753	
156	CNC5	12829	
157	CNC6	12882	
158	CNC1	13012	
159	CNC2	13065	
160	CNC3	13141	
161	CNC4	13194	
162	CNC7	13346	
163	CNC8	13399	
164	CNC5	13475	
165	CNC6	13528	
166	CNC1	13658	
167	CNC2	13711	
168	CNC3	13787	
169	CNC4	13840	
170	CNC7	13992	
171	CNC8	14045	
172	CNC5	14121	
173	CNC6	14174	
174	CNC1	14304	
175	CNC2	14357	
176	CNC3	14433	
177	CNC4	14486	
178	CNC7	14638	
179	CNC8	14691	
180	CNC5	14767	
181	CNC6	14820	
182	CNC1	14950	
183	CNC2	15003	
184	CNC3	15079	
185	CNC4	15132	
186	CNC7	15284	
187	CNC8	15337	
188	CNC5	15413	
189	CNC6	15466	
190	CNC1	15596	
191	CNC2	15649	
192	CNC3	15725	
193	CNC4	15778	
194	CNC7	15930	
195	CNC8	15983	
196	CNC5	16059	
197	CNC6	16112	
198	CNC1	16242	
199	CNC2	16295	
200	CNC3	16371	
201	CNC4	16424	
201	CNC7	16576	Error
202	CNC8	16629	
203	CNC5	16705	
204	CNC6	16758	
205	CNC1	16888	
206	CNC2	16941	
207	CNC3	17017	
208	CNC4	17070	
209	CNC8	17278	
210	CNC5	17354	
211	CNC6	17407	
212	CNC7	17483	
213	CNC1	17582	
214	CNC2	17635	
215	CNC3	17711	
216	CNC4	17764	
217	CNC8	17927	
218	CNC5	18003	
219	CNC6	18056	
220	CNC7	18132	
221	CNC1	18241	
222	CNC2	18294	
223	CNC3	18370	
224	CNC4	18423	
225	CNC8	18576	
226	CNC5	18652	
227	CNC6	18705	
227	CNC7	18781	Error
228	CNC1	18900	
229	CNC2	18953	
230	CNC3	19029	
231	CNC4	19082	
232	CNC8	19225	
233	CNC5	19301	
234	CNC6	19354	
235	CNC7	19430	
236	CNC1	19559	
237	CNC2	19612	
238	CNC3	19688	
239	CNC4	19741	
240	CNC8	19874	
241	CNC5	19950	
242	CNC6	20003	
243	CNC7	20079	
244	CNC1	20218	
245	CNC2	20271	
246	CNC3	20347	
247	CNC4	20400	
248	CNC8	20523	
249	CNC5	20599	
250	CNC6	20652	
251	CNC7	20728	
252	CNC1	20877	
253	CNC2	20930	
254	CNC3	21006	
255	CNC4	21059	
256	CNC8	21172	
257	CNC5	21248	
258	CNC6	21301	
259	CNC7	21377	
260	CNC1	21536	
261	CNC2	21589	
262	CNC3	21665	
263	CNC4	21718	
264	CNC8	21821	
265	CNC5	21897	
266	CNC6	21950	
267	CNC7	22026	
268	CNC1	22195	
269	CNC2	22248	
270	CNC3	22324	
271	CNC4	22377	
272	CNC8	22470	
273	CNC5	22546	
274	CNC6	22599	
275	CNC7	22675	
276	CNC1	22854	
277	CNC2	22907	
278	CNC3	22983	
279	CNC4	23036	
280	CNC8	23125	
281	CNC5	23201	
282	CNC6	23254	
283	CNC7	23330	
284	CNC1	23513	
285	CNC2	23566	
286	CNC3	23642	
287	CNC4	23695	
288	CNC8	23784	
289	CNC5	23860	
290	CNC6	23913	
290	CNC7	23989	Error
291	CNC1	24172	
292	CNC2	24225	
293	CNC3	24301	
294	CNC4	24354	
295	CNC8	24443	
296	CNC5	24519	
297	CNC6	24572	
298	CNC7	24648	
299	CNC1	24831	
300	CNC2	24884	
301	CNC3	24960	
302	CNC4	25013	
303	CNC8	25102	
304	CNC5	25178	
305	CNC6	25231	
306	CNC7	25307	
307	CNC1	25490	
308	CNC2	25543	
309	CNC3	25619	
310	CNC4	25672	
311	CNC8	25761	
312	CNC5	25837	
313	CNC6	25890	
314	CNC7	25966	
315	CNC1	26149	
316	CNC2	26202	
317	CNC3	26278	
318	CNC4	26331	
319	CNC8	26420	
320	CNC5	26496	
321	CNC6	26549	
322	CNC7	26625	
323	CNC1	26808	
324	CNC2	26861	
325	CNC3	26937	
326	CNC4	26990	
327	CNC8	27079	
328	CNC5	27155	
329	CNC6	27208	
330	CNC7	27284	
331	CNC1	27467	
332	CNC2	27520	
333	CNC3	27596	
334	CNC4	27649	
335	CNC8	27738	
336	CNC5	27814	
337	CNC6	27867	
338	CNC7	27943	
339	CNC1	28126	
340	CNC2	28179	
341	CNC3	28255	
342	CNC4	28308	
