Co	Code	Time	Err
1	CNC1	0	
2	CNC2	30	
2	CNC3	88	Error
3	CNC4	118	
4	CNC5	176	
5	CNC6	206	
6	CNC7	264	
7	CNC8	294	
8	CNC1	669	
9	CNC2	729	
10	CNC4	817	
11	CNC5	905	
11	CNC6	965	Error
12	CNC7	1053	
13	CNC8	1113	
14	CNC3	1219	
15	CNC1	1332	
16	CNC2	1392	
17	CNC4	1485	
18	CNC5	1573	
19	CNC7	1716	
20	CNC8	1776	
21	CNC6	1882	
22	CNC3	1970	
23	CNC1	2053	
24	CNC2	2113	
25	CNC4	2201	
26	CNC5	2289	
27	CNC7	2379	
28	CNC8	2439	
29	CNC6	2550	
30	CNC3	2638	
31	CNC1	2721	
32	CNC2	2781	
33	CNC4	2869	
34	CNC5	2957	
35	CNC7	3042	
36	CNC8	3102	
37	CNC6	3218	
38	CNC3	3306	
39	CNC1	3389	
40	CNC2	3449	
41	CNC4	3537	
42	CNC5	3625	
43	CNC7	3708	
44	CNC8	3768	
45	CNC6	3886	
46	CNC3	3974	
47	CNC1	4057	
48	CNC2	4117	
49	CNC4	4205	
50	CNC5	4293	
51	CNC7	4376	
52	CNC8	4436	
53	CNC6	4554	
54	CNC3	4642	
55	CNC1	4725	
56	CNC2	4785	
57	CNC4	4873	
58	CNC5	4961	
59	CNC7	5044	
60	CNC8	5104	
61	CNC6	5222	
62	CNC3	5310	
63	CNC1	5393	
64	CNC2	5453	
65	CNC4	5541	
66	CNC5	5629	
67	CNC7	5712	
68	CNC8	5772	
69	CNC6	5890	
70	CNC3	5978	
71	CNC1	6061	
72	CNC2	6121	
73	CNC4	6209	
74	CNC5	6297	
75	CNC7	6380	
76	CNC8	6440	
77	CNC6	6558	
78	CNC3	6646	
79	CNC1	6729	
80	CNC2	6789	
81	CNC4	6877	
82	CNC5	6965	
83	CNC7	7048	
84	CNC8	7108	
85	CNC6	7226	
86	CNC3	7314	
87	CNC1	7397	
88	CNC2	7457	
89	CNC4	7545	
90	CNC5	7633	
91	CNC7	7716	
92	CNC8	7776	
93	CNC6	7894	
94	CNC3	7982	
94	CNC1	8065	Error
95	CNC2	8125	
96	CNC4	8213	
97	CNC5	8301	
98	CNC7	8384	
99	CNC8	8444	
100	CNC6	8562	
101	CNC3	8650	
102	CNC2	8793	
103	CNC4	8881	
104	CNC5	8969	
105	CNC7	9052	
106	CNC8	9112	
107	CNC1	9236	
108	CNC3	9319	
109	CNC6	9402	
110	CNC2	9508	
111	CNC4	9596	
112	CNC5	9684	
113	CNC7	9767	
114	CNC8	9827	
115	CNC1	9951	
116	CNC3	10034	
117	CNC6	10117	
118	CNC2	10223	
119	CNC4	10311	
120	CNC5	10399	
121	CNC7	10482	
122	CNC8	10542	
123	CNC1	10666	
124	CNC3	10749	
125	CNC6	10832	
126	CNC2	10938	
127	CNC4	11026	
128	CNC5	11114	
129	CNC7	11197	
130	CNC8	11257	
131	CNC1	11381	
132	CNC3	11464	
133	CNC6	11547	
134	CNC2	11653	
135	CNC4	11741	
136	CNC5	11829	
137	CNC7	11912	
138	CNC8	11972	
139	CNC1	12096	
140	CNC3	12179	
141	CNC6	12262	
142	CNC2	12368	
143	CNC4	12456	
144	CNC5	12544	
145	CNC7	12627	
146	CNC8	12687	
147	CNC1	12811	
148	CNC3	12894	
149	CNC6	12977	
150	CNC2	13083	
151	CNC4	13171	
151	CNC5	13259	Error
152	CNC7	13342	
153	CNC8	13402	
154	CNC1	13526	
155	CNC3	13609	
156	CNC6	13692	
157	CNC2	13798	
158	CNC4	13886	
159	CNC5	13974	
160	CNC7	14027	
161	CNC8	14087	
162	CNC1	14225	
163	CNC3	14308	
164	CNC6	14391	
164	CNC2	14497	Error
165	CNC4	14585	
166	CNC5	14673	
167	CNC7	14756	
168	CNC8	14816	
169	CNC1	14940	
170	CNC3	15023	
171	CNC6	15106	
172	CNC2	15212	
173	CNC4	15270	
174	CNC5	15358	
175	CNC7	15441	
176	CNC8	15501	
177	CNC1	15639	
178	CNC3	15722	
179	CNC6	15805	
180	CNC2	15911	
181	CNC4	15999	
182	CNC5	16087	
183	CNC7	16170	
184	CNC8	16230	
185	CNC1	16354	
186	CNC3	16437	
187	CNC6	16520	
188	CNC2	16626	
189	CNC4	16714	
190	CNC5	16802	
191	CNC7	16885	
192	CNC8	16945	
193	CNC1	17069	
194	CNC3	17152	
195	CNC6	17235	
196	CNC2	17341	
197	CNC4	17429	
198	CNC5	17517	
199	CNC7	17600	
200	CNC8	17660	
201	CNC1	17784	
202	CNC3	17867	
203	CNC6	17950	
204	CNC2	18056	
205	CNC4	18144	
206	CNC5	18232	
207	CNC7	18315	
208	CNC8	18375	
209	CNC1	18499	
210	CNC3	18582	
211	CNC6	18665	
212	CNC2	18771	
213	CNC4	18859	
214	CNC5	18947	
215	CNC7	19030	
216	CNC8	19090	
217	CNC1	19214	
218	CNC3	19297	
219	CNC6	19380	
220	CNC2	19486	
221	CNC4	19574	
222	CNC5	19662	
223	CNC7	19745	
224	CNC8	19805	
225	CNC1	19929	
226	CNC3	20012	
227	CNC6	20095	
227	CNC2	20201	Error
228	CNC4	20289	
229	CNC5	20377	
230	CNC7	20460	
231	CNC8	20520	
232	CNC1	20644	
233	CNC3	20727	
234	CNC6	20810	
235	CNC2	20916	
236	CNC4	20974	
237	CNC5	21062	
238	CNC7	21145	
239	CNC8	21205	
240	CNC1	21343	
241	CNC3	21426	
242	CNC6	21509	
243	CNC2	21615	
244	CNC4	21703	
245	CNC5	21791	
246	CNC7	21874	
247	CNC8	21934	
248	CNC1	22058	
249	CNC3	22141	
250	CNC6	22224	
251	CNC2	22330	
252	CNC4	22418	
253	CNC5	22506	
254	CNC7	22589	
255	CNC8	22649	
256	CNC1	22773	
257	CNC3	22856	
258	CNC6	22939	
259	CNC2	23045	
260	CNC4	23133	
261	CNC5	23221	
262	CNC7	23304	
263	CNC8	23364	
264	CNC1	23488	
265	CNC3	23571	
266	CNC6	23654	
267	CNC2	23760	
268	CNC4	23848	
269	CNC5	23936	
270	CNC7	24019	
271	CNC8	24079	
272	CNC1	24203	
273	CNC3	24286	
274	CNC6	24369	
275	CNC2	24475	
276	CNC4	24563	
277	CNC5	24651	
278	CNC7	24734	
279	CNC8	24794	
280	CNC1	24918	
281	CNC3	25001	
282	CNC6	25084	
283	CNC2	25190	
284	CNC4	25278	
285	CNC5	25366	
286	CNC7	25449	
287	CNC8	25509	
288	CNC1	25633	
289	CNC3	25716	
290	CNC6	25799	
291	CNC2	25905	
292	CNC4	25993	
293	CNC5	26081	
294	CNC7	26164	
295	CNC8	26224	
296	CNC1	26348	
297	CNC3	26431	
298	CNC6	26514	
299	CNC2	26620	
300	CNC4	26708	
301	CNC5	26796	
302	CNC7	26879	
303	CNC8	26939	
304	CNC1	27063	
305	CNC3	27146	
306	CNC6	27229	
307	CNC2	27335	
308	CNC4	27423	
309	CNC5	27511	
310	CNC7	27594	
311	CNC8	27654	
312	CNC1	27778	
313	CNC3	27861	
314	CNC6	27944	
315	CNC2	28050	
316	CNC4	28138	
317	CNC5	28226	
318	CNC7	28309	
319	CNC8	28369	
320	CNC1	28493	
321	CNC3	28576	
322	CNC6	28659	
323	CNC2	28765	
